Date of Detection,Species Detected,20,21,22,23
2/11/2021,45 Opossum,False,True,False,False
2/19/2021,Domestic Cat,True,False,False,False
2/26/2021,45 Opossum,False,False,True,False
2/26/2021,Domestic Cat,False,True,False,True
2/28/2021,45 Opossum,False,False,True,False
2/8/2021,Nine-banded Armadillo,False,False,False,True
3/10/2021,Domestic Cat,True,False,False,False
3/15/2021,45 Opossum,False,False,True,False
3/2/2021,45 Opossum,False,False,False,True
3/21/2021,White-tailed Deer,False,True,False,False
3/24/2021,Groundhog,True,False,False,False
3/24/2021,Nine-banded Armadillo,False,True,False,False
3/25/2021,45 Opossum,True,True,False,True
3/26/2021,45 Opossum,False,True,False,True
3/27/2021,White-tailed Deer,False,False,True,False
3/28/2021,45 Opossum,True,False,False,False
3/3/2021,Domestic Cat,False,False,True,True
3/30/2021,45 Opossum,True,False,False,False
4/1/2021,Rat,False,False,False,True
4/10/2021,45 Opossum,False,True,True,True
4/10/2021,Raccoon,False,False,False,True
4/10/2021,Rat,True,True,True,False
4/10/2022,Bird,True,False,False,False
4/10/2022,Mouse,False,True,True,False
4/10/2022,Raccoon,True,False,False,False
4/11/2021,45 Opossum,True,False,False,True
4/11/2021,Domestic Cat,True,False,False,True
4/11/2021,Rat,True,True,True,False
4/11/2022,Mouse,False,True,True,True
4/11/2022,Virginia Opossum,False,False,True,False
4/12/2021,45 Opossum,True,True,True,True
4/12/2021,Rat,True,True,True,True
4/12/2022,Domestic Cat,False,True,False,False
4/12/2022,Rat,False,False,False,True
4/12/2022,Virginia Opossum,False,True,False,True
4/12/2022,White-tailed Deer,False,True,True,True
4/13/2021,45 Opossum,True,True,False,False
4/13/2021,Domestic Cat,True,False,False,False
4/13/2021,Raccoon,False,True,False,False
4/13/2021,Rat,False,False,True,False
4/13/2022,Bird,False,False,False,True
4/13/2022,Coyote,False,True,False,False
4/13/2022,Mouse,False,False,False,True
4/13/2022,Raccoon,False,True,False,False
4/13/2022,Virginia Opossum,True,False,False,False
4/14/2021,45 Opossum,True,True,False,False
4/14/2021,Domestic Cat,True,False,False,False
4/14/2021,Rat,False,False,True,True
4/14/2022,Domestic Cat,False,True,False,False
4/14/2022,Mouse,False,False,True,False
4/14/2022,Red Fox,True,False,False,False
4/14/2022,River Otter,False,False,True,False
4/14/2022,Virginia Opossum,False,True,True,True
4/14/2022,White-tailed Deer,True,False,True,True
4/15/2021,45 Opossum,True,True,True,True
4/15/2021,Domestic Cat,True,False,True,False
4/15/2021,Rat,False,True,False,True
4/15/2022,Domestic Cat,False,False,True,True
4/15/2022,Raccoon,False,True,False,False
4/15/2022,Rat,True,False,True,False
4/15/2022,Virginia Opossum,False,False,True,True
4/15/2022,White-tailed Deer,False,False,True,False
4/16/2021,45 Opossum,False,False,True,False
4/16/2021,Domestic Cat,True,True,True,False
4/16/2021,Raccoon,False,False,False,True
4/16/2021,Rat,True,True,True,False
4/16/2021,Red Fox,True,False,False,False
4/16/2022,Nine-banded Armadillo,False,True,True,False
4/16/2022,Raccoon,True,False,False,False
4/16/2022,Virginia Opossum,False,True,False,True
4/17/2021,45 Opossum,False,True,True,False
4/17/2021,Domestic Cat,True,True,True,True
4/17/2021,Rat,True,True,False,True
4/17/2022,Nine-banded Armadillo,True,True,True,False
4/17/2022,Raccoon,False,True,False,True
4/17/2022,Virginia Opossum,True,True,False,False
4/18/2021,45 Opossum,True,True,True,False
4/18/2021,Domestic Cat,False,False,True,False
4/18/2021,Mouse,False,False,True,True
4/18/2021,Rat,True,True,False,False
4/18/2022,Nine-banded Armadillo,False,True,False,True
4/18/2022,Raccoon,False,False,False,True
4/18/2022,Rat,False,True,False,False
4/18/2022,Virginia Opossum,True,False,True,False
4/18/2022,White-tailed Deer,False,False,True,False
4/19/2021,45 Opossum,True,True,True,True
4/19/2021,Domestic Cat,True,False,True,False
4/19/2021,Mouse,False,False,False,True
4/19/2021,Rat,False,True,False,True
4/19/2022,Coyote,False,False,True,False
4/19/2022,Domestic Cat,False,False,True,False
4/19/2022,Nine-banded Armadillo,False,False,True,False
4/19/2022,Raccoon,False,False,True,True
4/19/2022,Virginia Opossum,False,False,True,False
4/19/2022,White-tailed Deer,False,False,False,True
4/2/2021,45 Opossum,True,False,False,False
4/2/2021,White-tailed Deer,False,False,False,True
4/20/2021,45 Opossum,False,True,True,False
4/20/2021,Domestic Cat,True,True,False,False
4/20/2021,Mouse,False,False,False,True
4/20/2021,Raccoon,False,False,True,False
4/20/2021,Rat,True,False,False,False
4/20/2021,White-tailed Deer,False,True,False,False
4/20/2022,Cottontail,True,False,True,False
4/20/2022,Domestic Cat,False,True,False,False
4/20/2022,Nine-banded Armadillo,True,False,False,False
4/20/2022,Person,False,False,False,True
4/20/2022,Raccoon,False,False,True,True
4/20/2022,Virginia Opossum,True,True,True,True
4/21/2021,45 Opossum,True,True,False,True
4/21/2021,Domestic Cat,True,True,True,False
4/21/2021,Rat,True,True,True,False
4/21/2022,Domestic Cat,False,True,False,False
4/21/2022,Nine-banded Armadillo,True,False,False,False
4/21/2022,Person,False,False,True,False
4/21/2022,Raccoon,True,False,True,False
4/21/2022,Virginia Opossum,False,True,True,False
4/21/2022,White-tailed Deer,False,False,True,True
4/22/2021,45 Opossum,True,False,True,True
4/22/2021,Domestic Cat,True,False,True,False
4/22/2021,Mouse,False,False,True,False
4/22/2021,Rat,True,False,False,False
4/22/2022,Domestic Cat,False,False,True,True
4/22/2022,Domestic Dog,True,True,False,False
4/22/2022,Mouse,False,True,False,False
4/22/2022,Nine-banded Armadillo,False,True,False,False
4/22/2022,Person,False,False,True,False
4/22/2022,Raccoon,False,True,False,True
4/22/2022,Virginia Opossum,False,False,False,True
4/23/2021,45 Opossum,False,False,False,True
4/23/2021,Raccoon,False,False,True,False
4/23/2021,Rat,True,False,False,False
4/23/2022,Cottontail,True,False,True,False
4/23/2022,Domestic Cat,False,False,True,True
4/23/2022,Nine-banded Armadillo,False,False,True,True
4/23/2022,Raccoon,False,True,True,True
4/23/2022,Red Fox,False,True,False,False
4/23/2022,Virginia Opossum,True,True,True,True
4/23/2022,White-tailed Deer,False,False,True,False
4/24/2021,45 Opossum,True,False,True,False
4/24/2021,Domestic Cat,True,False,True,False
4/24/2021,Domestic Dog,False,False,True,False
4/24/2021,Mouse,True,True,False,False
4/24/2021,Nine-banded Armadillo,False,False,False,True
4/24/2021,Raccoon,False,False,False,True
4/24/2021,Rat,True,True,True,True
4/24/2022,Coyote,False,True,False,False
4/24/2022,Domestic Cat,False,False,False,True
4/24/2022,Gray Squirrel,False,False,False,True
4/24/2022,Nine-banded Armadillo,True,False,True,False
4/24/2022,Raccoon,True,True,True,True
4/24/2022,Virginia Opossum,False,True,True,True
4/24/2022,White-tailed Deer,False,False,True,True
4/25/2021,45 Opossum,True,False,False,True
4/25/2021,Domestic Cat,True,False,True,True
4/25/2021,Domestic Dog,True,False,False,False
4/25/2021,Mouse,False,True,False,False
4/25/2021,Raccoon,False,False,True,False
4/25/2021,Rat,False,True,True,False
4/25/2021,Red Fox,False,True,False,False
4/25/2022,Cottontail,True,True,True,False
4/25/2022,Coyote,False,False,True,False
4/25/2022,Domestic Cat,True,False,False,False
4/25/2022,Nine-banded Armadillo,False,True,False,False
4/25/2022,Raccoon,True,True,True,True
4/25/2022,Virginia Opossum,True,True,True,True
4/25/2022,White-tailed Deer,True,True,False,True
4/26/2021,45 Opossum,False,False,False,True
4/26/2021,Domestic Cat,False,True,True,False
4/26/2021,Raccoon,False,True,False,False
4/26/2021,Rat,False,True,False,True
4/26/2021,Striped Skunk,False,False,True,False
4/26/2022,Cottontail,True,False,False,False
4/26/2022,Coyote,True,False,False,True
4/26/2022,Domestic Cat,True,False,False,True
4/26/2022,Domestic Dog,False,True,False,False
4/26/2022,Nine-banded Armadillo,False,False,False,True
4/26/2022,Person,False,True,True,False
4/26/2022,Raccoon,True,True,True,True
4/26/2022,Rat,False,True,False,False
4/26/2022,Virginia Opossum,True,False,False,True
4/26/2022,White-tailed Deer,True,False,True,True
4/27/2021,45 Opossum,False,False,True,False
4/27/2021,Nine-banded Armadillo,False,True,False,False
4/27/2021,Rat,True,False,False,False
4/27/2022,Cottontail,False,False,True,False
4/27/2022,Coyote,False,False,False,True
4/27/2022,Domestic Cat,True,True,False,False
4/27/2022,Domestic Dog,False,True,False,False
4/27/2022,Gray Squirrel,False,True,False,False
4/27/2022,Mouse,False,True,False,False
4/27/2022,Nine-banded Armadillo,False,True,False,False
4/27/2022,Person,False,True,True,False
4/27/2022,Raccoon,True,True,True,True
4/27/2022,Virginia Opossum,True,True,False,True
4/27/2022,White-tailed Deer,True,True,True,True
4/28/2021,45 Opossum,True,True,True,True
4/28/2021,Raccoon,True,False,False,False
4/28/2021,Rat,True,False,False,False
4/28/2022,Cottontail,False,False,True,False
4/28/2022,Coyote,False,False,True,False
4/28/2022,Domestic Cat,True,False,False,False
4/28/2022,Gray Squirrel,False,True,False,False
4/28/2022,Nine-banded Armadillo,False,True,False,True
4/28/2022,Raccoon,True,True,True,True
4/28/2022,Virginia Opossum,True,True,False,False
4/28/2022,White-tailed Deer,True,True,False,True
4/29/2021,45 Opossum,True,True,True,False
4/29/2021,Domestic Cat,True,True,False,True
4/29/2021,Domestic Dog,True,True,False,False
4/29/2021,Mouse,False,False,True,False
4/29/2021,Rat,True,True,False,True
4/29/2021,Striped Skunk,False,False,False,True
4/29/2022,Cottontail,False,True,False,False
4/29/2022,Coyote,False,False,True,True
4/29/2022,Domestic Cat,False,True,False,True
4/29/2022,Gray Squirrel,False,True,True,False
4/29/2022,Nine-banded Armadillo,True,True,True,True
4/29/2022,Raccoon,True,True,True,True
4/29/2022,Virginia Opossum,True,True,True,True
4/29/2022,White-tailed Deer,True,True,True,True
4/3/2021,45 Opossum,False,True,False,False
4/3/2021,White-tailed Deer,True,False,False,False
4/3/2022,Mouse,True,False,False,False
4/30/2021,45 Opossum,True,True,False,True
4/30/2021,Domestic Cat,False,True,False,False
4/30/2021,Raccoon,False,True,True,True
4/30/2021,Rat,True,True,True,True
4/30/2021,White-tailed Deer,True,False,False,False
4/30/2022,Cottontail,True,False,False,False
4/30/2022,Coyote,True,True,False,False
4/30/2022,Domestic Cat,False,True,False,False
4/30/2022,Domestic Dog,True,False,False,True
4/30/2022,Gray Squirrel,True,True,True,False
4/30/2022,Nine-banded Armadillo,False,True,False,False
4/30/2022,Raccoon,False,True,True,True
4/30/2022,Virginia Opossum,True,False,True,True
4/30/2022,White-tailed Deer,True,False,True,True
4/4/2021,45 Opossum,False,False,True,False
4/4/2022,Mouse,True,True,True,False
4/5/2021,Groundhog,True,False,False,False
4/5/2022,Mouse,False,True,False,False
4/6/2021,45 Opossum,False,True,False,True
4/6/2021,Raccoon,False,False,False,True
4/6/2022,Mouse,True,True,False,False
4/7/2021,45 Opossum,False,False,True,False
4/7/2021,Domestic Cat,False,False,False,True
4/7/2021,Raccoon,False,False,True,False
4/7/2021,White-tailed Deer,False,False,False,True
4/7/2022,Mouse,True,False,True,True
4/7/2022,Red Fox,True,False,False,False
4/8/2021,45 Opossum,False,True,False,True
4/8/2022,Mouse,True,True,False,False
4/8/2022,Raccoon,False,True,False,False
4/9/2021,45 Opossum,False,False,True,False
4/9/2021,Rat,True,False,True,False
4/9/2022,Mouse,True,False,True,False
4/9/2022,Raccoon,False,False,False,True
4/9/2022,Rat,False,True,False,False
5/1/2021,45 Opossum,False,True,True,True
5/1/2021,Domestic Cat,True,True,False,True
5/1/2021,Raccoon,False,False,False,True
5/1/2021,Rat,True,True,True,False
5/1/2021,Red Fox,True,False,False,False
5/1/2022,Bird,True,False,False,False
5/1/2022,Cottontail,True,False,False,True
5/1/2022,Coyote,True,True,False,True
5/1/2022,Domestic Cat,True,False,False,False
5/1/2022,Domestic Dog,False,True,False,False
5/1/2022,Gray Squirrel,False,False,True,True
5/1/2022,Nine-banded Armadillo,True,True,True,True
5/1/2022,Raccoon,True,True,True,True
5/1/2022,Rat,False,True,False,False
5/1/2022,Virginia Opossum,True,True,True,True
5/1/2022,White-tailed Deer,True,True,True,True
5/10/2021,45 Opossum,False,True,True,True
5/10/2021,Bird,True,False,False,False
5/10/2021,Domestic Cat,True,True,True,False
5/10/2021,Raccoon,False,True,True,True
5/10/2021,Rat,False,True,True,True
5/10/2022,Bobcat,False,False,True,False
5/10/2022,Coyote,False,True,False,False
5/10/2022,Domestic Cat,False,False,True,True
5/10/2022,Domestic Dog,False,False,True,False
5/10/2022,Gray Squirrel,True,True,True,True
5/10/2022,Nine-banded Armadillo,True,True,False,True
5/10/2022,Raccoon,True,True,True,True
5/10/2022,Rat,False,False,True,True
5/10/2022,Striped Skunk,False,False,True,False
5/10/2022,Virginia Opossum,True,False,True,True
5/10/2022,White-tailed Deer,True,False,True,True
5/11/2021,45 Opossum,False,True,True,True
5/11/2021,Domestic Cat,False,True,True,False
5/11/2021,Raccoon,False,False,True,True
5/11/2021,Rat,True,True,True,True
5/11/2021,Red Fox,False,True,True,True
5/11/2021,White-tailed Deer,False,False,True,False
5/11/2022,Cottontail,False,False,False,True
5/11/2022,Coyote,True,True,True,False
5/11/2022,Domestic Cat,True,False,True,True
5/11/2022,Domestic Dog,False,False,False,True
5/11/2022,Gray Squirrel,False,False,True,False
5/11/2022,Nine-banded Armadillo,False,True,False,True
5/11/2022,Person,True,False,False,False
5/11/2022,Raccoon,True,True,True,True
5/11/2022,Virginia Opossum,True,True,True,True
5/11/2022,White-tailed Deer,True,False,True,False
5/12/2021,45 Opossum,False,True,True,False
5/12/2021,Bird,True,False,False,False
5/12/2021,Cottontail,True,False,True,False
5/12/2021,Domestic Cat,True,True,True,True
5/12/2021,Domestic Dog,True,False,True,False
5/12/2021,Nine-banded Armadillo,False,True,False,True
5/12/2021,Raccoon,True,True,True,True
5/12/2021,Rat,True,True,True,True
5/12/2022,Coyote,False,True,False,True
5/12/2022,Domestic Cat,False,True,True,True
5/12/2022,Domestic Dog,True,False,False,False
5/12/2022,Gray Squirrel,False,False,True,True
5/12/2022,Nine-banded Armadillo,False,True,False,True
5/12/2022,Raccoon,True,True,True,True
5/12/2022,Rat,False,False,False,True
5/12/2022,Virginia Opossum,False,True,False,False
5/12/2022,White-tailed Deer,True,True,False,False
5/13/2021,45 Opossum,True,True,True,True
5/13/2021,Bird,True,False,False,False
5/13/2021,Cottontail,False,True,False,False
5/13/2021,Domestic Cat,True,True,True,True
5/13/2021,Domestic Dog,False,True,True,False
5/13/2021,Mouse,False,False,False,True
5/13/2021,Nine-banded Armadillo,False,True,True,False
5/13/2021,Person,True,False,False,False
5/13/2021,Raccoon,False,True,False,True
5/13/2021,Rat,True,True,True,True
5/13/2021,White-tailed Deer,False,False,True,True
5/13/2022,Bird,False,False,False,True
5/13/2022,Coyote,True,False,True,True
5/13/2022,Domestic Cat,True,True,True,False
5/13/2022,Gray Squirrel,False,False,True,False
5/13/2022,Nine-banded Armadillo,True,False,False,True
5/13/2022,Raccoon,True,True,True,True
5/13/2022,Red Fox,False,False,False,True
5/13/2022,Virginia Opossum,False,False,False,True
5/13/2022,White-tailed Deer,True,True,False,False
5/14/2021,45 Opossum,False,True,True,True
5/14/2021,Cottontail,True,False,False,False
5/14/2021,Domestic Cat,True,True,True,True
5/14/2021,Domestic Dog,False,False,True,False
5/14/2021,Gray Squirrel,True,False,False,False
5/14/2021,Nine-banded Armadillo,False,False,False,True
5/14/2021,Person,True,False,False,False
5/14/2021,Raccoon,False,True,False,True
5/14/2021,Rat,True,True,True,False
5/14/2021,Red Fox,False,True,False,False
5/14/2021,White-tailed Deer,True,False,True,False
5/14/2022,Cottontail,True,False,False,False
5/14/2022,Domestic Dog,False,False,True,False
5/14/2022,Gray Squirrel,True,True,False,True
5/14/2022,Nine-banded Armadillo,True,False,False,True
5/14/2022,Person,False,True,False,False
5/14/2022,Raccoon,True,True,True,True
5/14/2022,Virginia Opossum,False,True,False,False
5/14/2022,White-tailed Deer,False,True,True,True
5/15/2021,45 Opossum,False,True,True,True
5/15/2021,Cottontail,False,False,True,False
5/15/2021,Domestic Cat,True,True,True,True
5/15/2021,Domestic Dog,False,True,False,False
5/15/2021,Nine-banded Armadillo,False,False,True,True
5/15/2021,Person,True,False,False,False
5/15/2021,Raccoon,False,True,True,True
5/15/2021,Rat,True,True,True,True
5/15/2021,White-tailed Deer,True,True,True,True
5/15/2022,Bird,True,False,False,True
5/15/2022,Cottontail,True,True,False,False
5/15/2022,Coyote,True,False,True,False
5/15/2022,Domestic Cat,True,False,True,True
5/15/2022,Gray Squirrel,True,False,False,True
5/15/2022,Nine-banded Armadillo,False,True,True,True
5/15/2022,Raccoon,True,True,True,True
5/15/2022,Virginia Opossum,True,True,False,True
5/15/2022,White-tailed Deer,True,True,True,True
5/16/2021,45 Opossum,True,True,True,False
5/16/2021,Bird,True,False,False,False
5/16/2021,Cottontail,True,False,False,False
5/16/2021,Domestic Cat,True,True,False,False
5/16/2021,Domestic Dog,False,False,True,False
5/16/2021,Mouse,False,True,False,False
5/16/2021,Nine-banded Armadillo,False,True,False,True
5/16/2021,Raccoon,False,True,True,True
5/16/2021,Rat,True,False,False,True
5/16/2021,White-tailed Deer,True,True,False,True
5/16/2022,Bird,False,False,True,False
5/16/2022,Cottontail,False,True,True,False
5/16/2022,Coyote,False,True,False,True
5/16/2022,Domestic Cat,True,True,False,True
5/16/2022,Domestic Dog,False,False,False,True
5/16/2022,Gray Squirrel,False,True,True,False
5/16/2022,Mouse,True,False,False,False
5/16/2022,Nine-banded Armadillo,True,True,False,False
5/16/2022,Person,True,False,False,False
5/16/2022,Raccoon,True,True,True,True
5/16/2022,Virginia Opossum,True,True,True,True
5/16/2022,White-tailed Deer,True,True,True,True
5/17/2021,45 Opossum,False,True,True,True
5/17/2021,Coyote,False,False,False,True
5/17/2021,Domestic Cat,False,True,False,True
5/17/2021,Person,True,False,False,False
5/17/2021,Raccoon,True,True,True,True
5/17/2021,Rat,True,True,True,False
5/17/2021,White-tailed Deer,True,True,False,False
5/17/2022,Bird,False,False,False,True
5/17/2022,Cottontail,True,False,False,False
5/17/2022,Coyote,False,True,True,False
5/17/2022,Domestic Cat,True,True,True,False
5/17/2022,Domestic Dog,True,True,False,False
5/17/2022,Gray Squirrel,True,True,True,False
5/17/2022,Nine-banded Armadillo,True,True,True,True
5/17/2022,Raccoon,True,True,True,True
5/17/2022,Rat,False,True,True,False
5/17/2022,Virginia Opossum,True,True,False,False
5/17/2022,White-tailed Deer,True,True,True,True
5/18/2021,45 Opossum,False,True,True,True
5/18/2021,Coyote,True,False,True,False
5/18/2021,Domestic Cat,False,True,True,True
5/18/2021,Domestic Dog,False,True,True,True
5/18/2021,Gray Fox,False,True,False,False
5/18/2021,Nine-banded Armadillo,False,True,False,True
5/18/2021,Raccoon,False,False,True,True
5/18/2021,Rat,True,False,False,False
5/18/2021,Red Fox,False,True,True,True
5/18/2021,White-tailed Deer,True,True,True,True
5/18/2022,Bird,False,False,False,True
5/18/2022,Chipmunk,False,False,True,False
5/18/2022,Cottontail,True,False,False,False
5/18/2022,Coyote,False,False,False,True
5/18/2022,Domestic Cat,True,False,True,True
5/18/2022,Domestic Dog,False,True,True,False
5/18/2022,Gray Squirrel,False,False,False,True
5/18/2022,Nine-banded Armadillo,False,True,True,True
5/18/2022,Raccoon,True,True,False,True
5/18/2022,Virginia Opossum,False,True,True,False
5/18/2022,White-tailed Deer,True,True,True,True
5/19/2021,45 Opossum,False,True,True,True
5/19/2021,Bobcat,True,False,False,False
5/19/2021,Domestic Cat,True,True,True,False
5/19/2021,Nine-banded Armadillo,False,False,True,False
5/19/2021,Raccoon,False,True,True,True
5/19/2021,Rat,True,True,True,True
5/19/2021,Red Fox,False,True,True,False
5/19/2021,White-tailed Deer,True,True,True,False
5/19/2022,Bird,False,False,False,True
5/19/2022,Cottontail,True,False,False,False
5/19/2022,Domestic Cat,True,False,True,False
5/19/2022,Domestic Dog,True,True,False,False
5/19/2022,Gray Squirrel,False,False,True,False
5/19/2022,Nine-banded Armadillo,False,False,True,True
5/19/2022,Person,True,True,True,False
5/19/2022,Raccoon,True,True,True,True
5/19/2022,Red Fox,False,False,True,False
5/19/2022,Virginia Opossum,False,True,True,False
5/19/2022,White-tailed Deer,True,True,True,True
5/2/2021,45 Opossum,False,True,True,False
5/2/2021,Domestic Cat,False,False,True,True
5/2/2021,Mouse,False,False,True,False
5/2/2021,Raccoon,False,False,True,True
5/2/2021,Rat,True,False,True,False
5/2/2021,Red Fox,False,True,False,False
5/2/2022,Cottontail,False,False,True,True
5/2/2022,Coyote,False,False,True,False
5/2/2022,Domestic Cat,True,True,False,False
5/2/2022,Gray Fox,False,False,True,False
5/2/2022,Nine-banded Armadillo,False,True,False,True
5/2/2022,Person,False,True,False,False
5/2/2022,Raccoon,True,True,True,True
5/2/2022,Red Fox,True,False,False,True
5/2/2022,White-tailed Deer,True,False,False,True
5/20/2021,45 Opossum,True,False,False,True
5/20/2021,Domestic Cat,True,True,False,True
5/20/2021,Raccoon,False,False,False,True
5/20/2021,Rat,True,False,False,False
5/20/2021,Red Fox,False,True,False,False
5/20/2021,White-tailed Deer,True,True,False,True
5/20/2022,Cottontail,True,True,True,False
5/20/2022,Coyote,False,False,True,False
5/20/2022,Domestic Cat,True,False,True,False
5/20/2022,Domestic Dog,True,False,False,False
5/20/2022,Gray Squirrel,False,False,True,False
5/20/2022,Nine-banded Armadillo,False,True,True,True
5/20/2022,Person,True,True,False,False
5/20/2022,Raccoon,True,True,True,True
5/20/2022,Rat,False,False,True,False
5/20/2022,Red Fox,True,True,True,False
5/20/2022,Virginia Opossum,False,False,True,True
5/20/2022,White-tailed Deer,True,True,True,True
5/21/2021,45 Opossum,False,False,True,True
5/21/2021,Coyote,False,True,True,False
5/21/2021,Domestic Cat,True,True,False,True
5/21/2021,Domestic Dog,False,True,True,False
5/21/2021,Groundhog,True,False,False,False
5/21/2021,Nine-banded Armadillo,False,True,False,True
5/21/2021,Raccoon,True,False,False,False
5/21/2021,Rat,True,True,True,True
5/21/2021,Red Fox,False,False,True,False
5/21/2021,White-tailed Deer,True,False,False,True
5/21/2022,Cottontail,False,True,False,True
5/21/2022,Domestic Cat,True,True,True,False
