Date of Detection,Species Detected,20,21,22,23
5/21/2022,Domestic Dog,False,True,False,False
5/21/2022,Gray Squirrel,True,False,False,False
5/21/2022,Nine-banded Armadillo,True,True,True,False
5/21/2022,Person,True,False,False,False
5/21/2022,Raccoon,True,True,True,True
5/21/2022,Red Fox,False,True,False,True
5/21/2022,Striped Skunk,False,False,True,False
5/21/2022,Virginia Opossum,False,True,True,True
5/21/2022,White-tailed Deer,True,True,False,True
5/22/2021,45 Opossum,True,False,True,True
5/22/2021,Coyote,False,True,False,False
5/22/2021,Domestic Cat,True,True,False,True
5/22/2021,Domestic Dog,False,True,False,True
5/22/2021,Gray Fox,False,False,True,False
5/22/2021,Nine-banded Armadillo,False,False,False,True
5/22/2021,Raccoon,False,True,True,True
5/22/2021,Rat,True,True,True,True
5/22/2021,Red Fox,False,False,False,True
5/22/2021,White-tailed Deer,True,True,True,True
5/22/2022,Bird,True,False,False,False
5/22/2022,Cottontail,True,False,False,False
5/22/2022,Coyote,False,True,False,False
5/22/2022,Domestic Cat,False,True,True,True
5/22/2022,Domestic Dog,True,False,False,False
5/22/2022,Gray Squirrel,False,False,True,True
5/22/2022,Nine-banded Armadillo,True,True,False,True
5/22/2022,Raccoon,True,True,True,True
5/22/2022,Rat,False,False,False,True
5/22/2022,Red Fox,False,False,False,True
5/22/2022,Virginia Opossum,True,True,True,True
5/22/2022,White-tailed Deer,True,True,True,True
5/23/2021,45 Opossum,False,True,True,True
5/23/2021,Bobcat,True,False,False,False
5/23/2021,Domestic Cat,True,False,True,True
5/23/2021,Domestic Dog,True,False,False,True
5/23/2021,Gray Fox,False,False,True,False
5/23/2021,Groundhog,True,False,False,False
5/23/2021,Person,True,False,False,False
5/23/2021,Raccoon,False,True,True,False
5/23/2021,Rat,True,True,True,True
5/23/2021,White-tailed Deer,True,False,True,True
5/23/2022,Cottontail,False,True,True,False
5/23/2022,Coyote,True,False,False,True
5/23/2022,Domestic Cat,True,True,True,False
5/23/2022,Domestic Dog,False,False,True,False
5/23/2022,Gray Fox,False,True,False,False
5/23/2022,Gray Squirrel,False,False,False,True
5/23/2022,Nine-banded Armadillo,True,True,True,True
5/23/2022,Person,True,False,False,False
5/23/2022,Raccoon,True,True,True,True
5/23/2022,Virginia Opossum,True,True,True,True
5/23/2022,White-tailed Deer,True,True,True,True
5/24/2021,45 Opossum,True,False,True,True
5/24/2021,Domestic Cat,False,True,True,True
5/24/2021,Domestic Dog,True,False,False,True
5/24/2021,Gray Squirrel,True,False,False,False
5/24/2021,Nine-banded Armadillo,True,False,True,True
5/24/2021,Raccoon,False,True,True,True
5/24/2021,Rat,True,True,True,True
5/24/2021,White-tailed Deer,True,True,True,True
5/24/2022,Cottontail,False,True,False,False
5/24/2022,Coyote,False,False,True,True
5/24/2022,Domestic Dog,False,False,False,True
5/24/2022,Nine-banded Armadillo,False,True,True,False
5/24/2022,Person,True,True,False,True
5/24/2022,Raccoon,True,True,True,True
5/24/2022,Red Fox,False,False,False,True
5/24/2022,Virginia Opossum,False,False,True,True
5/24/2022,White-tailed Deer,True,True,False,True
5/25/2021,45 Opossum,False,False,True,False
5/25/2021,Cottontail,False,False,True,False
5/25/2021,Coyote,False,False,True,True
5/25/2021,Domestic Cat,False,True,False,True
5/25/2021,Nine-banded Armadillo,False,True,True,False
5/25/2021,Raccoon,False,True,True,True
5/25/2021,Rat,True,True,True,True
5/25/2021,White-tailed Deer,True,True,True,True
5/25/2022,Bird,False,True,True,False
5/25/2022,Cottontail,True,True,True,False
5/25/2022,Coyote,False,True,True,True
5/25/2022,Domestic Cat,True,False,True,True
5/25/2022,Domestic Dog,True,False,False,False
5/25/2022,Gray Squirrel,False,False,False,True
5/25/2022,Nine-banded Armadillo,False,True,True,True
5/25/2022,Person,True,True,False,False
5/25/2022,Raccoon,True,True,True,True
5/25/2022,Virginia Opossum,False,True,True,False
5/25/2022,White-tailed Deer,True,True,True,True
5/26/2021,45 Opossum,False,True,True,True
5/26/2021,Coyote,False,False,False,True
5/26/2021,Domestic Cat,False,True,True,False
5/26/2021,Domestic Dog,True,False,False,False
5/26/2021,Gray Fox,False,False,True,False
5/26/2021,Person,True,False,False,False
5/26/2021,Raccoon,False,True,True,False
5/26/2021,Rat,False,True,True,True
5/26/2021,White-tailed Deer,True,False,False,True
5/26/2022,Bird,False,False,True,False
5/26/2022,Domestic Cat,True,False,False,False
5/26/2022,Domestic Dog,True,False,False,False
5/26/2022,Gray Fox,False,True,False,False
5/26/2022,Gray Squirrel,False,False,False,True
5/26/2022,Nine-banded Armadillo,True,True,True,True
5/26/2022,Person,True,False,False,False
5/26/2022,Raccoon,True,True,True,True
5/26/2022,Striped Skunk,False,False,True,True
5/26/2022,Virginia Opossum,True,True,True,True
5/26/2022,White-tailed Deer,True,True,True,True
5/27/2021,45 Opossum,False,True,False,True
5/27/2021,Coyote,False,True,False,False
5/27/2021,Nine-banded Armadillo,False,False,False,True
5/27/2021,Raccoon,True,True,False,False
5/27/2021,Rat,False,False,True,True
5/27/2021,Red Fox,False,True,False,False
5/27/2021,White-tailed Deer,False,False,False,True
5/27/2022,Bird,False,True,False,False
5/27/2022,Coyote,False,False,True,True
5/27/2022,Domestic Cat,True,False,False,True
5/27/2022,Domestic Dog,False,False,True,False
5/27/2022,Gray Squirrel,False,False,True,False
5/27/2022,Nine-banded Armadillo,False,True,False,True
5/27/2022,Person,False,False,True,False
5/27/2022,Raccoon,True,True,True,True
5/27/2022,Red Fox,False,False,False,True
5/27/2022,Virginia Opossum,True,True,True,False
5/27/2022,White-tailed Deer,True,True,True,True
5/28/2021,45 Opossum,False,True,True,False
5/28/2021,Coyote,False,True,False,False
5/28/2021,Domestic Cat,False,False,True,False
5/28/2021,Domestic Dog,False,True,False,True
5/28/2021,Nine-banded Armadillo,False,True,False,False
5/28/2021,Person,True,False,False,False
5/28/2021,Raccoon,False,True,True,True
5/28/2021,Rat,True,True,True,True
5/28/2021,Red Fox,False,True,True,True
5/28/2021,White-tailed Deer,True,True,True,True
5/28/2022,Bird,False,False,True,False
5/28/2022,Coyote,False,False,True,False
5/28/2022,Domestic Cat,True,True,True,True
5/28/2022,Gray Fox,False,False,False,True
5/28/2022,Gray Squirrel,True,True,True,True
5/28/2022,Groundhog,True,False,False,False
5/28/2022,Nine-banded Armadillo,False,False,True,True
5/28/2022,Person,True,True,True,True
5/28/2022,Raccoon,True,True,True,True
5/28/2022,Virginia Opossum,False,True,False,True
5/28/2022,White-tailed Deer,True,True,True,True
5/29/2021,45 Opossum,False,False,True,False
5/29/2021,Bird,True,False,False,False
5/29/2021,Cottontail,False,True,False,False
5/29/2021,Coyote,False,False,False,True
5/29/2021,Domestic Cat,True,True,True,True
5/29/2021,Domestic Dog,False,False,True,False
5/29/2021,Gray Fox,False,True,False,False
5/29/2021,Nine-banded Armadillo,False,False,True,False
5/29/2021,Raccoon,True,True,True,False
5/29/2021,Rat,True,True,True,True
5/29/2021,Red Fox,True,True,True,True
5/29/2021,White-tailed Deer,False,True,True,True
5/29/2022,Bird,False,False,False,True
5/29/2022,Cottontail,True,False,False,True
5/29/2022,Coyote,False,False,True,False
5/29/2022,Domestic Cat,True,True,False,False
5/29/2022,Domestic Dog,False,True,False,False
5/29/2022,Gray Squirrel,False,False,True,False
5/29/2022,Nine-banded Armadillo,False,False,True,False
5/29/2022,Person,True,False,False,False
5/29/2022,Raccoon,True,True,True,True
5/29/2022,Striped Skunk,False,False,False,True
5/29/2022,Virginia Opossum,False,False,True,False
5/29/2022,White-tailed Deer,True,True,True,True
5/3/2021,45 Opossum,False,True,False,False
5/3/2021,Domestic Cat,True,False,False,False
5/3/2021,Raccoon,False,False,True,False
5/3/2021,Rat,True,True,False,True
5/3/2021,Red Fox,True,False,False,False
5/3/2022,Cottontail,True,False,False,False
5/3/2022,Coyote,False,True,True,False
5/3/2022,Domestic Cat,True,True,True,True
5/3/2022,Gray Squirrel,True,True,True,True
5/3/2022,Nine-banded Armadillo,True,False,True,False
5/3/2022,Raccoon,True,True,True,True
5/3/2022,Virginia Opossum,True,True,True,True
5/3/2022,White-tailed Deer,False,False,True,True
5/30/2021,45 Opossum,False,True,False,False
5/30/2021,Cottontail,True,True,True,False
5/30/2021,Coyote,False,False,True,False
5/30/2021,Domestic Cat,True,True,True,False
5/30/2021,Domestic Dog,False,False,True,False
5/30/2021,Gray Fox,False,True,False,False
5/30/2021,Nine-banded Armadillo,False,False,True,False
5/30/2021,Raccoon,True,True,False,True
5/30/2021,Rat,False,True,True,True
5/30/2021,Red Fox,False,False,False,True
5/30/2021,White-tailed Deer,True,True,True,True
5/30/2022,Coyote,False,False,False,True
5/30/2022,Domestic Cat,False,True,True,False
5/30/2022,Domestic Dog,True,False,False,False
5/30/2022,Gray Fox,False,False,True,False
5/30/2022,Nine-banded Armadillo,False,True,True,True
5/30/2022,Person,True,False,True,True
5/30/2022,Raccoon,True,True,True,True
5/30/2022,Red Fox,False,False,True,False
5/30/2022,Virginia Opossum,True,True,False,True
5/30/2022,White-tailed Deer,True,True,True,True
5/31/2021,45 Opossum,False,True,True,True
5/31/2021,Bird,True,False,False,False
5/31/2021,Cottontail,False,False,False,True
5/31/2021,Domestic Dog,False,False,True,False
5/31/2021,Nine-banded Armadillo,False,False,True,True
5/31/2021,Raccoon,False,True,True,True
5/31/2021,Rat,True,False,False,True
5/31/2021,Red Fox,False,False,False,True
5/31/2021,White-tailed Deer,True,False,True,True
5/31/2022,Black Bear,False,False,True,False
5/31/2022,Cottontail,True,False,True,False
5/31/2022,Domestic Cat,True,True,False,True
5/31/2022,Domestic Dog,True,False,False,False
5/31/2022,Nine-banded Armadillo,False,True,False,True
5/31/2022,Person,False,False,True,False
5/31/2022,Raccoon,True,True,True,True
5/31/2022,Red Fox,False,False,False,True
5/31/2022,Virginia Opossum,True,True,True,False
5/31/2022,White-tailed Deer,True,True,True,False
5/4/2021,45 Opossum,True,False,False,True
5/4/2021,Domestic Cat,False,True,False,True
5/4/2021,Domestic Dog,False,True,False,False
5/4/2021,Nine-banded Armadillo,False,False,True,False
5/4/2021,Raccoon,False,True,False,True
5/4/2021,Rat,True,True,True,False
5/4/2022,Coyote,False,False,True,False
5/4/2022,Domestic Cat,True,False,True,False
5/4/2022,Domestic Dog,True,False,False,True
5/4/2022,Gray Squirrel,False,True,False,False
5/4/2022,Nine-banded Armadillo,True,True,True,True
5/4/2022,Raccoon,True,True,True,True
5/4/2022,Rat,False,False,True,False
5/4/2022,Red Fox,True,False,False,False
5/4/2022,Virginia Opossum,True,True,True,True
5/5/2021,45 Opossum,False,False,True,True
5/5/2021,Bird,True,False,False,False
5/5/2021,Domestic Cat,True,True,False,True
5/5/2021,Domestic Dog,False,True,False,False
5/5/2021,Raccoon,False,True,False,True
5/5/2021,Rat,True,True,True,False
5/5/2022,Cottontail,False,False,True,True
5/5/2022,Coyote,True,False,True,True
5/5/2022,Domestic Cat,True,False,False,False
5/5/2022,Nine-banded Armadillo,True,False,True,False
5/5/2022,Raccoon,True,True,True,True
5/5/2022,Rat,True,True,False,False
5/5/2022,Red Fox,True,False,False,False
5/5/2022,Virginia Opossum,True,True,False,False
5/5/2022,White-tailed Deer,True,False,False,False
5/6/2021,45 Opossum,False,True,True,False
5/6/2021,Bird,True,False,False,False
5/6/2021,Domestic Cat,True,True,False,True
5/6/2021,Mouse,False,True,False,True
5/6/2021,Raccoon,True,False,False,False
5/6/2021,Rat,True,True,True,False
5/6/2022,Bird,False,False,True,False
5/6/2022,Coyote,False,False,True,False
5/6/2022,Domestic Cat,True,True,False,True
5/6/2022,Nine-banded Armadillo,True,True,False,True
5/6/2022,Raccoon,True,True,True,True
5/6/2022,Rat,True,False,False,True
5/6/2022,Virginia Opossum,True,True,True,True
5/6/2022,White-tailed Deer,False,False,False,True
5/7/2021,45 Opossum,False,True,True,True
5/7/2021,Domestic Cat,True,True,True,False
5/7/2021,Raccoon,False,True,True,True
5/7/2021,Rat,True,True,True,False
5/7/2021,White-tailed Deer,True,False,False,False
5/7/2022,Cottontail,False,False,True,False
5/7/2022,Domestic Cat,True,True,True,True
5/7/2022,Gray Squirrel,True,False,True,False
5/7/2022,Nine-banded Armadillo,True,False,False,True
5/7/2022,Raccoon,True,True,True,True
5/7/2022,Red Fox,True,False,False,False
5/7/2022,Virginia Opossum,True,False,True,True
5/7/2022,White-tailed Deer,True,False,False,True
5/8/2021,45 Opossum,False,False,True,True
5/8/2021,Domestic Cat,False,False,True,False
5/8/2021,Mouse,False,True,False,False
5/8/2021,Raccoon,False,False,True,True
5/8/2021,Rat,True,False,False,False
5/8/2021,White-tailed Deer,True,False,False,True
5/8/2022,Bird,False,False,False,True
5/8/2022,Cottontail,False,False,False,True
5/8/2022,Coyote,True,False,False,False
5/8/2022,Domestic Cat,True,True,True,True
5/8/2022,Gray Squirrel,False,False,True,False
5/8/2022,Nine-banded Armadillo,True,True,True,False
5/8/2022,Person,True,False,False,False
5/8/2022,Raccoon,True,True,True,True
5/8/2022,Red Fox,False,False,True,False
5/8/2022,Virginia Opossum,False,True,True,True
5/8/2022,White-tailed Deer,False,False,False,True
5/9/2021,45 Opossum,True,False,False,False
5/9/2021,Bird,True,False,False,False
5/9/2021,Coyote,False,False,True,False
5/9/2021,Domestic Cat,True,True,True,True
5/9/2021,Nine-banded Armadillo,False,False,False,True
5/9/2021,Person,True,False,False,False
5/9/2021,Raccoon,False,False,False,True
5/9/2021,Rat,True,True,True,True
5/9/2021,Red Fox,False,False,True,True
5/9/2021,White-tailed Deer,False,True,False,True
5/9/2022,Bird,False,False,True,False
5/9/2022,Coyote,False,True,False,False
5/9/2022,Domestic Cat,True,False,True,True
5/9/2022,Gray Squirrel,False,False,True,True
5/9/2022,Nine-banded Armadillo,True,True,True,False
5/9/2022,Raccoon,True,True,True,True
5/9/2022,Virginia Opossum,False,True,False,True
5/9/2022,White-tailed Deer,True,False,True,True
6/1/2021,45 Opossum,False,True,False,True
6/1/2021,Bird,True,False,False,False
6/1/2021,Cottontail,True,True,False,False
6/1/2021,Domestic Cat,True,True,True,True
6/1/2021,Domestic Dog,False,True,False,False
6/1/2021,Gray Fox,False,False,True,True
6/1/2021,Nine-banded Armadillo,False,False,True,False
6/1/2021,Person,True,False,False,False
6/1/2021,Raccoon,True,True,True,True
6/1/2021,Rat,True,True,True,True
6/1/2021,Red Fox,False,True,True,False
6/1/2021,White-tailed Deer,True,True,True,True
6/1/2022,Bird,False,True,False,False
6/1/2022,Cottontail,True,True,True,True
6/1/2022,Coyote,False,False,False,True
6/1/2022,Domestic Cat,False,True,True,False
6/1/2022,Domestic Dog,False,True,False,False
6/1/2022,Gray Fox,False,False,False,True
6/1/2022,Nine-banded Armadillo,True,True,False,False
6/1/2022,Person,False,True,False,False
6/1/2022,Raccoon,True,True,True,True
6/1/2022,Red Fox,False,True,False,False
6/1/2022,Virginia Opossum,False,True,True,True
6/1/2022,White-tailed Deer,True,True,True,True
6/10/2021,45 Opossum,False,True,True,True
6/10/2021,Cottontail,True,True,False,False
6/10/2021,Domestic Cat,True,True,False,False
6/10/2021,Nine-banded Armadillo,False,False,True,True
6/10/2021,Person,True,False,False,False
6/10/2021,Raccoon,True,True,False,True
6/10/2021,Rat,False,True,False,False
6/10/2021,White-tailed Deer,True,True,True,False
6/10/2022,Domestic Cat,False,False,True,False
6/10/2022,Mouse,True,True,False,False
6/10/2022,Nine-banded Armadillo,True,True,False,False
6/10/2022,Raccoon,False,True,False,False
6/10/2022,Rat,False,False,False,True
6/10/2022,Red Fox,True,True,False,True
6/10/2022,White-tailed Deer,False,False,False,True
6/11/2021,45 Opossum,False,False,True,True
6/11/2021,Cottontail,False,True,False,False
6/11/2021,Domestic Dog,False,True,False,False
6/11/2021,Gray Fox,False,False,True,True
6/11/2021,Person,False,True,False,False
6/11/2021,Raccoon,False,True,True,True
6/11/2021,Rat,False,False,True,False
6/11/2021,Red Fox,False,True,False,False
6/11/2021,White-tailed Deer,True,True,False,True
6/11/2022,Domestic Cat,False,True,True,True
6/11/2022,Domestic Dog,True,True,False,False
6/11/2022,Mouse,False,False,False,True
6/11/2022,Nine-banded Armadillo,False,False,True,False
6/11/2022,Person,True,False,False,False
6/11/2022,Raccoon,False,True,True,True
6/11/2022,Red Fox,True,True,False,True
6/11/2022,Virginia Opossum,False,False,True,False
6/11/2022,White-tailed Deer,False,True,True,True
6/12/2021,45 Opossum,False,True,False,True
6/12/2021,Bird,True,False,False,False
6/12/2021,Cottontail,True,False,False,False
6/12/2021,Domestic Cat,False,True,False,False
6/12/2021,Domestic Dog,True,False,False,False
6/12/2021,Gray Squirrel,True,False,False,False
6/12/2021,Nine-banded Armadillo,False,False,True,False
6/12/2021,Person,True,False,False,False
6/12/2021,Raccoon,True,True,True,False
6/12/2021,Rat,False,True,False,True
6/12/2021,Red Fox,False,False,False,True
6/12/2021,White-tailed Deer,False,False,True,True
6/12/2022,Domestic Cat,False,True,True,True
6/12/2022,Domestic Dog,True,False,True,False
6/12/2022,Mouse,False,False,True,True
6/12/2022,Nine-banded Armadillo,True,False,False,False
6/12/2022,Person,True,False,False,False
6/12/2022,Raccoon,False,False,False,True
6/12/2022,Rat,False,True,False,False
6/12/2022,Red Fox,True,True,False,True
6/12/2022,Striped Skunk,False,True,False,False
6/12/2022,Virginia Opossum,False,True,False,False
6/12/2022,White-tailed Deer,False,True,True,False
6/13/2021,45 Opossum,False,True,True,True
6/13/2021,Bird,True,False,False,False
6/13/2021,Domestic Cat,False,True,True,False
6/13/2021,Domestic Dog,True,False,False,False
6/13/2021,Gray Fox,False,False,True,False
6/13/2021,Gray Squirrel,True,False,False,False
6/13/2021,Nine-banded Armadillo,False,False,True,True
6/13/2021,Raccoon,False,True,True,True
6/13/2021,White-tailed Deer,True,True,True,True
6/13/2022,Domestic Cat,True,True,False,False
6/13/2022,Mouse,True,True,False,True
6/13/2022,Nine-banded Armadillo,True,False,False,False
6/13/2022,Raccoon,False,True,False,True
6/13/2022,Red Fox,True,False,False,False
6/13/2022,Striped Skunk,False,True,False,False
6/13/2022,White-tailed Deer,True,True,True,False
6/14/2021,45 Opossum,False,True,False,True
6/14/2021,Bird,True,False,False,False
6/14/2021,Domestic Cat,True,False,True,True
6/14/2021,Domestic Dog,True,False,False,False
6/14/2021,Gray Fox,False,True,False,False
6/14/2021,Nine-banded Armadillo,False,True,False,False
6/14/2021,Person,True,False,False,False
6/14/2021,Raccoon,True,True,False,True
6/14/2021,Rat,False,True,False,True
6/14/2021,White-tailed Deer,True,True,True,True
6/14/2022,Cottontail,False,False,True,False
6/14/2022,Domestic Cat,False,False,True,True
6/14/2022,Domestic Dog,True,False,False,False
6/14/2022,Mouse,True,True,False,False
6/14/2022,Nine-banded Armadillo,False,False,True,False
6/14/2022,Person,True,False,False,False
6/14/2022,Raccoon,False,True,False,False
6/14/2022,Red Fox,True,True,True,False
6/14/2022,White-tailed Deer,True,True,True,True
6/15/2021,45 Opossum,False,False,False,True
6/15/2021,Coyote,False,False,False,True
6/15/2021,Domestic Cat,True,True,True,False
6/15/2021,Domestic Dog,True,False,False,False
6/15/2021,Nine-banded Armadillo,False,False,True,True
6/15/2021,Raccoon,False,True,True,True
6/15/2021,Rat,False,False,True,False
6/15/2021,White-tailed Deer,True,True,True,True
6/15/2022,Coyote,False,False,True,False
6/15/2022,Domestic Cat,True,True,True,True
6/15/2022,Gray Fox,True,False,False,False
6/15/2022,Mouse,True,False,False,True
6/15/2022,Nine-banded Armadillo,False,False,False,True
6/15/2022,Person,True,False,False,False
6/15/2022,Raccoon,True,False,True,True
6/15/2022,Red Fox,True,False,False,False
6/15/2022,Virginia Opossum,False,False,True,False
6/15/2022,White-tailed Deer,True,False,False,False
6/16/2021,45 Opossum,False,True,True,True
6/16/2021,Cottontail,False,False,True,True
6/16/2021,Domestic Cat,False,True,False,False
6/16/2021,Nine-banded Armadillo,False,False,True,True
6/16/2021,Person,False,True,False,False
6/16/2021,Raccoon,False,True,True,True
6/16/2021,Rat,False,False,True,True
6/16/2021,White-tailed Deer,False,True,True,True
6/16/2022,Domestic Cat,True,True,True,True
6/16/2022,Domestic Dog,True,False,False,False
6/16/2022,Mouse,False,False,False,True
6/16/2022,Nine-banded Armadillo,False,True,True,False
6/16/2022,Raccoon,False,True,True,True
6/16/2022,Red Fox,True,False,False,False
6/16/2022,Virginia Opossum,False,True,True,False
6/16/2022,White-tailed Deer,True,True,False,False
6/17/2021,45 Opossum,False,False,True,True
6/17/2021,Cottontail,False,True,False,False
6/17/2021,Domestic Cat,True,False,True,True
6/17/2021,Domestic Dog,True,False,False,False
6/17/2021,Gray Squirrel,True,False,False,False
6/17/2021,Nine-banded Armadillo,False,False,True,False
6/17/2021,Raccoon,True,True,True,True
6/17/2021,Rat,False,False,True,True
6/17/2021,White-tailed Deer,True,True,False,False
6/17/2022,Bird,True,False,False,False
6/17/2022,Coyote,False,False,False,True
6/17/2022,Domestic Cat,False,True,False,True
6/17/2022,Domestic Dog,True,False,False,False
6/17/2022,Mouse,False,True,True,True
6/17/2022,Nine-banded Armadillo,False,False,True,False
6/17/2022,Person,True,True,False,False
6/17/2022,Raccoon,False,True,True,True
6/17/2022,Virginia Opossum,False,False,False,True
6/17/2022,White-tailed Deer,True,True,True,True
6/18/2021,45 Opossum,False,False,True,True
6/18/2021,Bird,True,False,False,False
6/18/2021,Cottontail,False,True,False,True
6/18/2021,Domestic Cat,True,True,True,True
6/18/2021,Domestic Dog,False,True,False,False
6/18/2021,Gray Squirrel,True,False,False,False
6/18/2021,Raccoon,False,True,True,True
6/18/2021,Red Fox,True,False,False,False
6/18/2021,White-tailed Deer,False,True,True,False
6/18/2022,Coyote,False,False,True,False
6/18/2022,Domestic Cat,True,True,True,False
6/18/2022,Mouse,True,False,True,False
6/18/2022,Nine-banded Armadillo,False,False,True,False
6/18/2022,Person,False,True,False,False
6/18/2022,Raccoon,True,True,True,True
6/18/2022,Red Fox,False,False,False,True
6/18/2022,Virginia Opossum,False,False,False,True
6/18/2022,White-tailed Deer,True,True,False,True
6/19/2021,45 Opossum,False,False,False,True
6/19/2021,Cottontail,True,False,False,False
6/19/2021,Domestic Cat,False,False,True,False
6/19/2021,Gray Squirrel,True,False,False,False
6/19/2021,Nine-banded Armadillo,True,True,False,False
6/19/2021,Raccoon,True,True,False,True
